epoch,train_loss,train_cls,train_disp,val_loss,val_cls,val_disp,P@1,R@1,F1@1,P@2,R@2,F1@2,P@3,R@3,F1@3,GT,Pred,best_F1@1,train_s,eval_s,lr
100,0.100599,0.036502,6.409636,0.220848,0.064616,15.623263,0.0917,0.0493,0.0641,0.1833,0.0987,0.1283,0.3167,0.1704,0.2216,223,120,0.1503,0.2,0.0,0.000229
101,0.102131,0.037394,6.473657,0.244468,0.064057,18.041101,0.0952,0.0538,0.0688,0.2381,0.1345,0.1719,0.3810,0.2152,0.2751,223,126,0.1503,0.2,0.0,0.000228
102,0.100869,0.036776,6.409340,0.215311,0.055511,15.979998,0.0872,0.0673,0.0759,0.1686,0.1300,0.1468,0.3023,0.2332,0.2633,223,172,0.1503,0.2,0.0,0.000226
103,0.101802,0.036429,6.537235,0.220999,0.057056,16.394352,0.1049,0.0762,0.0883,0.1667,0.1211,0.1403,0.3025,0.2197,0.2545,223,162,0.1503,0.2,0.0,0.000225
104,0.100660,0.036497,6.416313,0.231554,0.060016,17.153837,0.0922,0.0583,0.0714,0.1915,0.1211,0.1484,0.3262,0.2063,0.2527,223,141,0.1503,0.2,0.0,0.000224
105,0.100664,0.036526,6.413864,0.214115,0.052644,16.147045,0.1044,0.0852,0.0938,0.1868,0.1525,0.1679,0.3132,0.2556,0.2815,223,182,0.1503,0.2,0.0,0.000222
106,0.100048,0.036063,6.398562,0.244910,0.056744,18.816624,0.1258,0.0897,0.1047,0.2201,0.1570,0.1832,0.3711,0.2646,0.3089,223,159,0.1503,0.2,0.0,0.000221
107,0.099778,0.036072,6.370577,0.231323,0.061863,16.945985,0.0896,0.0538,0.0672,0.1866,0.1121,0.1401,0.3284,0.1973,0.2465,223,134,0.1503,0.2,0.0,0.000219
108,0.099879,0.036301,6.357798,0.240820,0.053885,18.693522,0.1034,0.0807,0.0907,0.2184,0.1704,0.1914,0.3563,0.2780,0.3123,223,174,0.1503,0.2,0.0,0.000218
109,0.100002,0.036331,6.367145,0.245471,0.056235,18.923545,0.0909,0.0673,0.0773,0.2061,0.1525,0.1753,0.3515,0.2601,0.2990,223,165,0.1503,0.2,0.0,0.000217
110,0.098959,0.036131,6.282789,0.240128,0.056479,18.364866,0.1024,0.0762,0.0874,0.1807,0.1345,0.1542,0.3434,0.2556,0.2931,223,166,0.1503,0.2,0.0,0.000215
111,0.099657,0.036097,6.355981,0.241879,0.057044,18.483552,0.1037,0.0762,0.0879,0.1890,0.1390,0.1602,0.3354,0.2466,0.2842,223,164,0.1503,0.2,0.0,0.000214
112,0.099757,0.036270,6.348673,0.256117,0.067099,18.901814,0.0642,0.0314,0.0422,0.2202,0.1076,0.1446,0.3670,0.1794,0.2410,223,109,0.1503,0.2,0.0,0.000213
113,0.100579,0.037139,6.344008,0.266479,0.049505,21.697364,0.1229,0.1300,0.1264,0.2542,0.2691,0.2614,0.3771,0.3991,0.3878,223,236,0.1503,0.2,0.0,0.000211
114,0.101036,0.036848,6.418820,0.257391,0.064851,19.254023,0.0656,0.0359,0.0464,0.2213,0.1211,0.1565,0.3770,0.2063,0.2667,223,122,0.1503,0.2,0.0,0.000210
115,0.100756,0.036661,6.409534,0.249220,0.070410,17.880976,0.0816,0.0359,0.0498,0.1735,0.0762,0.1059,0.3265,0.1435,0.1994,223,98,0.1503,0.2,0.0,0.000208
116,0.103022,0.036665,6.635675,0.277470,0.054213,22.325725,0.1359,0.1121,0.1229,0.2609,0.2152,0.2359,0.4348,0.3587,0.3931,223,184,0.1503,0.2,0.0,0.000207
117,0.101080,0.035824,6.525589,0.256999,0.053930,20.306952,0.1050,0.0852,0.0941,0.2320,0.1883,0.2079,0.3702,0.3004,0.3317,223,181,0.1503,0.2,0.0,0.000206
118,0.102807,0.036480,6.632725,0.247934,0.047124,20.080942,0.1115,0.1345,0.1220,0.2156,0.2601,0.2358,0.3309,0.3991,0.3618,223,269,0.1503,0.2,0.0,0.000204
119,0.102575,0.039330,6.324539,0.255703,0.054599,20.110412,0.1170,0.0987,0.1071,0.2340,0.1973,0.2141,0.3830,0.3229,0.3504,223,188,0.1503,0.2,0.0,0.000203
120,0.099431,0.036262,6.316952,0.263205,0.063150,20.005549,0.0977,0.0583,0.0730,0.2331,0.1390,0.1742,0.3835,0.2287,0.2865,223,133,0.1503,0.2,0.0,0.000201
121,0.099608,0.036611,6.299660,0.263375,0.050632,21.274315,0.1111,0.1121,0.1116,0.2356,0.2377,0.2366,0.3822,0.3857,0.3839,223,225,0.1503,0.2,0.0,0.000200
122,0.100151,0.036706,6.344506,0.227489,0.063642,16.384691,0.0781,0.0448,0.0570,0.1641,0.0942,0.1197,0.2891,0.1659,0.2108,223,128,0.1503,0.2,0.0,0.000198
123,0.101964,0.036303,6.566137,0.243806,0.055526,18.827917,0.1098,0.0852,0.0960,0.2023,0.1570,0.1768,0.3468,0.2691,0.3030,223,173,0.1503,0.2,0.0,0.000197
124,0.102523,0.036076,6.644693,0.290404,0.055485,23.491967,0.1437,0.1121,0.1259,0.2759,0.2152,0.2418,0.4138,0.3229,0.3627,223,174,0.1503,0.2,0.0,0.000195
125,0.100099,0.035782,6.431780,0.243046,0.057864,18.518206,0.0813,0.0583,0.0679,0.1875,0.1345,0.1567,0.3250,0.2332,0.2715,223,160,0.1503,0.2,0.0,0.000194
126,0.098183,0.035611,6.257222,0.269829,0.059390,21.043901,0.1046,0.0717,0.0851,0.2157,0.1480,0.1755,0.3791,0.2601,0.3085,223,153,0.1503,0.2,0.0,0.000193
127,0.099002,0.035606,6.339638,0.248902,0.058787,19.011412,0.0949,0.0673,0.0787,0.1962,0.1390,0.1627,0.3418,0.2422,0.2835,223,158,0.1503,0.2,0.0,0.000191
128,0.099140,0.035959,6.318068,0.248243,0.057959,19.028419,0.0904,0.0673,0.0771,0.1928,0.1435,0.1645,0.3434,0.2556,0.2931,223,166,0.1503,0.2,0.0,0.000190
129,0.098114,0.035800,6.231413,0.244619,0.056856,18.776334,0.0783,0.0583,0.0668,0.1807,0.1345,0.1542,0.3193,0.2377,0.2725,223,166,0.1503,0.2,0.0,0.000188
