epoch,train_loss,train_cls,train_disp,val_loss,val_cls,val_disp,P@1,R@1,F1@1,P@2,R@2,F1@2,P@3,R@3,F1@3,GT,Pred,best_F1@1,train_s,eval_s,lr
67,0.016758,0.010318,0.644027,0.265462,0.158254,10.720874,0.1163,0.1345,0.1247,0.1938,0.2242,0.2079,0.2752,0.3184,0.2952,223,258,0.1712,1.1,0.0,0.000267
68,0.017770,0.010944,0.682555,0.271555,0.155567,11.598783,0.1008,0.1166,0.1081,0.1744,0.2018,0.1871,0.2636,0.3049,0.2827,223,258,0.1712,1.1,0.0,0.000266
69,0.017752,0.011005,0.674763,0.254516,0.140644,11.387179,0.1023,0.1211,0.1109,0.1970,0.2332,0.2136,0.2765,0.3274,0.2998,223,264,0.1712,1.1,0.0,0.000265
70,0.016595,0.009960,0.663527,0.283885,0.166327,11.755773,0.1127,0.1390,0.1245,0.1564,0.1928,0.1727,0.2655,0.3274,0.2932,223,275,0.1712,1.1,0.0,0.000264
71,0.015484,0.008999,0.648487,0.277130,0.166620,11.051045,0.1115,0.1435,0.1255,0.1812,0.2332,0.2039,0.2648,0.3408,0.2980,223,287,0.1712,1.1,0.0,0.000263
72,0.013536,0.007800,0.573570,0.312145,0.208811,10.333363,0.1435,0.1525,0.1478,0.2236,0.2377,0.2304,0.3080,0.3274,0.3174,223,237,0.1712,1.1,0.0,0.000262
73,0.014395,0.008559,0.583579,0.333413,0.222970,11.044243,0.1330,0.1121,0.1217,0.2340,0.1973,0.2141,0.3191,0.2691,0.2920,223,188,0.1712,1.1,0.0,0.000261
74,0.018443,0.011513,0.693020,0.300056,0.188299,11.175663,0.1364,0.1480,0.1419,0.2025,0.2197,0.2108,0.3223,0.3498,0.3355,223,242,0.1712,1.1,0.0,0.000260
75,0.024305,0.015415,0.888932,0.205339,0.098548,10.679168,0.1097,0.1570,0.1292,0.1944,0.2780,0.2288,0.2539,0.3632,0.2989,223,319,0.1712,1.1,0.0,0.000259
76,0.021576,0.012725,0.885125,0.230207,0.119465,11.074268,0.1163,0.1570,0.1336,0.1993,0.2691,0.2290,0.2691,0.3632,0.3092,223,301,0.1712,1.1,0.0,0.000258
77,0.014971,0.008441,0.653048,0.284472,0.180797,10.367467,0.1265,0.1390,0.1325,0.2122,0.2332,0.2222,0.2898,0.3184,0.3034,223,245,0.1712,1.1,0.0,0.000256
78,0.012187,0.006906,0.528026,0.272043,0.170174,10.186932,0.1317,0.1659,0.1468,0.2171,0.2735,0.2421,0.2883,0.3632,0.3214,223,281,0.1712,1.1,0.0,0.000255
79,0.009272,0.004887,0.438466,0.298108,0.197924,10.018376,0.1246,0.1570,0.1389,0.2206,0.2780,0.2460,0.3060,0.3857,0.3413,223,281,0.1712,1.1,0.0,0.000254
80,0.008392,0.004168,0.422317,0.339849,0.228921,11.092736,0.1079,0.1166,0.1121,0.1826,0.1973,0.1897,0.2863,0.3094,0.2974,223,241,0.1712,1.1,0.0,0.000253
81,0.008179,0.004021,0.415849,0.338960,0.238356,10.060390,0.1285,0.1435,0.1356,0.2008,0.2242,0.2119,0.2811,0.3139,0.2966,223,249,0.1712,1.1,0.0,0.000252
82,0.008195,0.004088,0.410646,0.342817,0.240772,10.204555,0.0925,0.0942,0.0933,0.1938,0.1973,0.1956,0.2907,0.2960,0.2933,223,227,0.1712,1.1,0.0,0.000251
83,0.006843,0.003099,0.374413,0.363324,0.261208,10.211541,0.1145,0.1166,0.1156,0.1894,0.1928,0.1911,0.3172,0.3229,0.3200,223,227,0.1712,1.1,0.0,0.000250
84,0.007291,0.003434,0.385716,0.366597,0.261273,10.532426,0.1223,0.1256,0.1239,0.2052,0.2108,0.2080,0.2926,0.3004,0.2965,223,229,0.1712,1.1,0.0,0.000249
85,0.006410,0.002883,0.352672,0.367107,0.265901,10.120569,0.1387,0.1480,0.1432,0.2143,0.2287,0.2213,0.3109,0.3318,0.3210,223,238,0.1712,1.1,0.0,0.000247
86,0.005638,0.002270,0.336762,0.365034,0.265560,9.947470,0.1174,0.1300,0.1234,0.1862,0.2063,0.1957,0.2915,0.3229,0.3064,223,247,0.1712,1.1,0.0,0.000246
87,0.005413,0.002207,0.320576,0.379993,0.281406,9.858656,0.1150,0.1166,0.1158,0.1947,0.1973,0.1960,0.2920,0.2960,0.2940,223,226,0.1712,1.1,0.0,0.000245
88,0.006737,0.003171,0.356604,0.344142,0.241266,10.287611,0.1199,0.1435,0.1306,0.2022,0.2422,0.2204,0.2846,0.3408,0.3102,223,267,0.1712,1.1,0.0,0.000244
89,0.007806,0.003711,0.409505,0.352751,0.251103,10.164780,0.1324,0.1614,0.1455,0.2022,0.2466,0.2222,0.2868,0.3498,0.3152,223,272,0.1712,1.1,0.0,0.000243
90,0.006351,0.002656,0.369413,0.379580,0.282268,9.731164,0.0962,0.0897,0.0928,0.1731,0.1614,0.1671,0.2837,0.2646,0.2738,223,208,0.1712,1.1,0.0,0.000241
91,0.005951,0.002423,0.352788,0.356924,0.259361,9.756274,0.1019,0.1211,0.1107,0.1736,0.2063,0.1885,0.2717,0.3229,0.2951,223,265,0.1712,1.1,0.0,0.000240
92,0.004922,0.001747,0.317513,0.385862,0.289468,9.639404,0.1042,0.1121,0.1080,0.1917,0.2063,0.1987,0.2917,0.3139,0.3024,223,240,0.1712,1.1,0.0,0.000239
93,0.004480,0.001443,0.303670,0.398364,0.298177,10.018680,0.1429,0.1435,0.1432,0.2366,0.2377,0.2371,0.3393,0.3408,0.3400,223,224,0.1712,1.1,0.0,0.000238
94,0.004272,0.001390,0.288203,0.393241,0.296741,9.649987,0.1120,0.1256,0.1184,0.2080,0.2332,0.2199,0.3000,0.3363,0.3171,223,250,0.1712,1.1,0.0,0.000237
95,0.003806,0.001172,0.263388,0.410301,0.315690,9.461148,0.1125,0.1211,0.1166,0.1875,0.2018,0.1944,0.2583,0.2780,0.2678,223,240,0.1712,1.1,0.0,0.000235
96,0.003654,0.001016,0.263854,0.406088,0.311018,9.507030,0.1474,0.1659,0.1561,0.2112,0.2377,0.2236,0.2988,0.3363,0.3165,223,251,0.1712,1.1,0.0,0.000234
97,0.003007,0.000697,0.230993,0.430363,0.335380,9.498297,0.1435,0.1345,0.1389,0.2057,0.1928,0.1991,0.2919,0.2735,0.2824,223,209,0.1712,1.1,0.0,0.000233
98,0.002778,0.000562,0.221681,0.416445,0.323070,9.337479,0.1290,0.1435,0.1359,0.2097,0.2332,0.2208,0.2742,0.3049,0.2887,223,248,0.1712,1.1,0.0,0.000231
99,0.002653,0.000522,0.213056,0.425333,0.329752,9.558035,0.1200,0.1345,0.1268,0.2000,0.2242,0.2114,0.2880,0.3229,0.3044,223,250,0.1712,1.1,0.0,0.000230
100,0.002341,0.000392,0.194922,0.430539,0.337612,9.292721,0.1198,0.1300,0.1247,0.2149,0.2332,0.2237,0.2645,0.2870,0.2753,223,242,0.1712,1.1,0.0,0.000229
101,0.002048,0.000287,0.176093,0.442325,0.348920,9.340468,0.1139,0.1211,0.1174,0.1983,0.2108,0.2043,0.2827,0.3004,0.2913,223,237,0.1712,1.1,0.0,0.000228
102,0.001860,0.000223,0.163707,0.445711,0.355058,9.065270,0.1189,0.1211,0.1200,0.2115,0.2152,0.2133,0.2775,0.2825,0.2800,223,227,0.1712,1.1,0.0,0.000226
103,0.001724,0.000167,0.155660,0.448596,0.355972,9.262370,0.1266,0.1345,0.1304,0.2194,0.2332,0.2261,0.2827,0.3004,0.2913,223,237,0.1712,1.1,0.0,0.000225
104,0.001569,0.000141,0.142856,0.446597,0.352749,9.384765,0.1181,0.1345,0.1258,0.2087,0.2377,0.2222,0.2756,0.3139,0.2935,223,254,0.1712,1.1,0.0,0.000224
105,0.001481,0.000128,0.135297,0.455065,0.360575,9.448994,0.1028,0.1166,0.1092,0.1897,0.2152,0.2017,0.2688,0.3049,0.2857,223,253,0.1712,1.1,0.0,0.000222
106,0.001494,0.000123,0.137040,0.456250,0.363070,9.318002,0.1134,0.1211,0.1171,0.2017,0.2152,0.2082,0.2731,0.2915,0.2820,223,238,0.1712,1.1,0.0,0.000221
107,0.001494,0.000133,0.136099,0.463456,0.370207,9.324922,0.0948,0.0987,0.0967,0.1810,0.1883,0.1846,0.2672,0.2780,0.2725,223,232,0.1712,1.1,0.0,0.000219
108,0.001472,0.000113,0.135920,0.476372,0.383194,9.317756,0.1097,0.1166,0.1130,0.2025,0.2152,0.2087,0.2827,0.3004,0.2913,223,237,0.1712,1.4,0.0,0.000218
109,0.001447,0.000117,0.133025,0.457690,0.366349,9.134088,0.1111,0.1166,0.1138,0.2094,0.2197,0.2144,0.2778,0.2915,0.2845,223,234,0.1712,1.1,0.0,0.000217
110,0.001371,0.000112,0.125838,0.459864,0.367960,9.190438,0.1151,0.1300,0.1221,0.2143,0.2422,0.2274,0.2778,0.3139,0.2947,223,252,0.1712,1.1,0.0,0.000215
111,0.001277,0.000095,0.118201,0.468037,0.374842,9.319489,0.1139,0.1211,0.1174,0.2110,0.2242,0.2174,0.2827,0.3004,0.2913,223,237,0.1712,1.1,0.0,0.000214
112,0.001267,0.000104,0.116282,0.457305,0.365744,9.156086,0.0988,0.1076,0.1030,0.1934,0.2108,0.2017,0.2881,0.3139,0.3004,223,243,0.1712,1.1,0.0,0.000213
113,0.001290,0.000120,0.117005,0.466438,0.375777,9.066108,0.1212,0.1256,0.1233,0.2121,0.2197,0.2159,0.2727,0.2825,0.2775,223,231,0.1712,1.1,0.0,0.000211
114,0.001222,0.000107,0.111547,0.462864,0.369630,9.323410,0.1181,0.1345,0.1258,0.1969,0.2242,0.2096,0.2638,0.3004,0.2809,223,254,0.1712,1.1,0.0,0.000210
115,0.001164,0.000101,0.106268,0.475551,0.384300,9.125144,0.1174,0.1211,0.1192,0.2261,0.2332,0.2296,0.3043,0.3139,0.3091,223,230,0.1712,1.1,0.0,0.000208
116,0.001129,0.000090,0.103846,0.465936,0.375637,9.029891,0.1239,0.1300,0.1269,0.2265,0.2377,0.2319,0.2906,0.3049,0.2976,223,234,0.1712,1.1,0.0,0.000207
