epoch,train_loss,train_cls,train_disp,val_loss,val_cls,val_disp,P@1,R@1,F1@1,P@2,R@2,F1@2,P@3,R@3,F1@3,GT,Pred,best_F1@1,train_s,eval_s,lr
82,0.000146,0.000032,0.011418,0.273374,0.238695,3.467924,0.4734,0.4395,0.4558,0.6812,0.6323,0.6558,0.7440,0.6906,0.7163,223,207,0.4879,0.2,0.0,0.000251
83,0.000159,0.000031,0.012734,0.278993,0.244524,3.446943,0.4519,0.4215,0.4362,0.6683,0.6233,0.6450,0.7212,0.6726,0.6961,223,208,0.4879,0.2,0.0,0.000250
84,0.000152,0.000033,0.011929,0.273210,0.237859,3.535102,0.4714,0.4439,0.4573,0.6762,0.6368,0.6559,0.7429,0.6996,0.7206,223,210,0.4879,0.2,0.0,0.000249
85,0.000143,0.000028,0.011555,0.273350,0.238089,3.526128,0.4739,0.4484,0.4608,0.6825,0.6457,0.6636,0.7441,0.7040,0.7235,223,211,0.4879,0.2,0.0,0.000247
86,0.000172,0.000029,0.014280,0.275187,0.240274,3.491263,0.4787,0.4529,0.4654,0.6682,0.6323,0.6498,0.7346,0.6951,0.7143,223,211,0.4879,0.2,0.0,0.000246
87,0.000134,0.000026,0.010758,0.278444,0.243989,3.445529,0.4670,0.4439,0.4552,0.6698,0.6368,0.6529,0.7358,0.6996,0.7172,223,212,0.4879,0.2,0.0,0.000245
88,0.000120,0.000022,0.009725,0.281675,0.246267,3.540796,0.4739,0.4484,0.4608,0.6777,0.6413,0.6590,0.7393,0.6996,0.7189,223,211,0.4879,0.2,0.0,0.000244
89,0.000118,0.000022,0.009604,0.283603,0.248481,3.512215,0.4811,0.4574,0.4690,0.6840,0.6502,0.6667,0.7358,0.6996,0.7172,223,212,0.4879,0.2,0.0,0.000243
90,0.000105,0.000020,0.008449,0.284901,0.249689,3.521216,0.4670,0.4439,0.4552,0.6651,0.6323,0.6483,0.7406,0.7040,0.7218,223,212,0.4879,0.2,0.0,0.000241
91,0.000107,0.000019,0.008769,0.287133,0.251996,3.513719,0.4834,0.4574,0.4700,0.6777,0.6413,0.6590,0.7488,0.7085,0.7281,223,211,0.4879,0.2,0.0,0.000240
92,0.000096,0.000017,0.007853,0.288486,0.253389,3.509619,0.4717,0.4484,0.4598,0.6840,0.6502,0.6667,0.7311,0.6951,0.7126,223,212,0.4879,0.2,0.0,0.000239
93,0.000095,0.000017,0.007858,0.289664,0.254767,3.489656,0.4976,0.4709,0.4839,0.6872,0.6502,0.6682,0.7441,0.7040,0.7235,223,211,0.4879,0.2,0.0,0.000238
